Run,Baseline Time (s),LLM Time (s),Tensile Time (s),Tuning Time Reduction,Performance Retention,Winner Matched
1,50.61,202.61,24.08,-3.4793,0.9856,True
2,50.61,21.54,23.79,0.1043,0.717,False
3,50.61,21.73,23.91,0.0982,0.5151,False
4,50.61,21.57,23.83,0.1029,0.8353,False
5,50.61,21.55,23.91,0.1019,0.7764,False
6,50.61,21.67,23.98,0.098,0.5692,False
7,50.61,21.73,23.92,0.098,0.8631,False
8,50.61,21.7,23.84,0.1003,0.7979,False
9,50.61,21.54,23.94,0.1014,0.7599,False
10,50.61,21.54,23.87,0.1028,0.7179,False
11,50.61,21.58,23.73,0.1047,0.7829,False
12,50.61,21.6,23.75,0.104,0.8837,False
13,50.61,21.77,23.64,0.1028,0.7092,False
14,50.61,21.77,23.78,0.1002,0.7446,False
15,50.61,21.66,23.65,0.1047,0.8491,False
16,50.61,21.5,24.06,0.0997,0.8643,False
17,50.61,21.58,23.98,0.0998,0.7565,False
18,50.61,21.55,23.81,0.1038,0.7893,False
19,50.61,21.48,23.76,0.1061,0.5368,False
20,50.61,21.52,23.7,0.1064,0.8829,False
